Latitude,Longitude,altitude
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123396,-4.0773419,68.5910719152262
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4123456,-4.0773782,69.45215475836658
52.4130909,-4.0742921,69.10787716395359
52.4130909,-4.0742921,69.10787716395359
52.4130909,-4.0742921,69.10787716395359
