Latitude,Longitude,altitude
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4127409,-4.0744499,112.68236529059565
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132698,-4.0741641,112.70038623722927
52.4132402,-4.0741735,112.7369948542988
52.4132402,-4.0741735,112.7369948542988
52.4132402,-4.0741735,112.7369948542988
