Latitude,Longitude,altitude
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.32799580257257
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.31436986773315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4117317,-4.0748023,112.27769843831315
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4113036,-4.0745964,112.14868720921969
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110526,-4.0744932,112.23160754751422
52.4110278,-4.0742895,112.10006630424103
52.4110278,-4.0742895,112.10006630424103
52.4110278,-4.0742895,112.10006630424103
52.4110278,-4.0742895,112.10006630424103
52.4110278,-4.0742895,112.10006630424103
