Latitude,Longitude,altitude
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117859,-4.0748431,112.76878962421792
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117944,-4.0748403,112.74096568812122
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117934,-4.0748398,112.77027798384259
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117879,-4.0748405,112.64011052793073
52.4117808,-4.0748418,112.52064862783838
52.4117808,-4.0748418,112.52064862783838
52.4117808,-4.0748418,112.52064862783838
52.4117808,-4.0748418,112.52064862783838
52.4117808,-4.0748418,112.52064862783838
52.4117808,-4.0748418,112.52064862783838
52.4117499,-4.0748493,112.54545851392605
52.4117499,-4.0748493,112.54545851392605
52.4117499,-4.0748493,112.54545851392605
52.4117499,-4.0748493,112.54545851392605
52.4117499,-4.0748493,112.54545851392605
